Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,12,auto,0.9,0.48927517447925156
100% Corpus,12,auto,1.5,0.43119008317565205
100% Corpus,12,auto,auto,0.4397830950110005
100% Corpus,14,0.15,0.15,0.4767234669219831
100% Corpus,14,0.15,0.2,0.4946950284008613
100% Corpus,14,0.15,0.5,0.49773041673387936
100% Corpus,14,0.15,0.7,0.4882195166998941
100% Corpus,14,0.15,0.9,0.4796447141573242
100% Corpus,14,0.15,1.5,0.49694934142268504
100% Corpus,14,0.15,auto,0.48837422212389076
100% Corpus,14,0.2,0.15,0.4903499993558735
100% Corpus,14,0.2,0.2,0.4911400514073496
100% Corpus,14,0.2,0.5,0.5257561859516441
100% Corpus,14,0.2,0.7,0.4519072754283216
100% Corpus,14,0.2,0.9,0.47331914327733954
100% Corpus,14,0.2,1.5,0.5100334264456713
100% Corpus,14,0.2,auto,0.5039576228793188
100% Corpus,14,0.5,0.15,0.5267356664830724
100% Corpus,14,0.5,0.2,0.5213992725103037
100% Corpus,14,0.5,0.5,0.5164652846882458
100% Corpus,14,0.5,0.7,0.46164686197153754
100% Corpus,14,0.5,0.9,0.5117656804252116
100% Corpus,14,0.5,1.5,0.4978868242245178
100% Corpus,14,0.5,auto,0.5219634813470979
100% Corpus,14,0.6,0.15,0.5569928633884411
100% Corpus,14,0.6,0.2,0.5568027104250223
100% Corpus,14,0.6,0.5,0.523639623696952
100% Corpus,14,0.6,0.7,0.5088152652633366
100% Corpus,14,0.6,0.9,0.5017950674111751
100% Corpus,14,0.6,1.5,0.6077180670923352
100% Corpus,14,0.6,auto,0.5488703285825766
100% Corpus,14,0.7,0.15,0.5447358425375203
100% Corpus,14,0.7,0.2,0.558784333068092
100% Corpus,14,0.7,0.5,0.5121959520024786
100% Corpus,14,0.7,0.7,0.5253277033414893
100% Corpus,14,0.7,0.9,0.4930217124551866
100% Corpus,14,0.7,1.5,0.6387247801536086
100% Corpus,14,0.7,auto,0.569414863333731
100% Corpus,14,0.9,0.15,0.5696577092832577
100% Corpus,14,0.9,0.2,0.5754882646054981
100% Corpus,14,0.9,0.5,0.5608080591585545
100% Corpus,14,0.9,0.7,0.5454797028884502
100% Corpus,14,0.9,0.9,0.5386426983744824
100% Corpus,14,0.9,1.5,0.6021749663119081
100% Corpus,14,0.9,auto,0.5926482586186147
100% Corpus,14,1.5,0.15,0.5830401188846944
100% Corpus,14,1.5,0.2,0.5863972710600078
100% Corpus,14,1.5,0.5,0.546047011432469
100% Corpus,14,1.5,0.7,0.4834809588789718
100% Corpus,14,1.5,0.9,0.5267806140367035
100% Corpus,14,1.5,1.5,0.48422032875683474
100% Corpus,14,1.5,auto,0.5697458697112855
100% Corpus,14,1.75,0.15,0.5721568176219672
100% Corpus,14,1.75,0.2,0.5806118776800877
100% Corpus,14,1.75,0.5,0.5515906381871337
100% Corpus,14,1.75,0.7,0.5175368544537963
100% Corpus,14,1.75,0.9,0.4937441759711073
100% Corpus,14,1.75,1.5,0.4252267288594905
100% Corpus,14,1.75,auto,0.5590229582631208
100% Corpus,14,auto,0.15,0.4565380789854855
100% Corpus,14,auto,0.2,0.45861162233896724
100% Corpus,14,auto,0.5,0.4696364105544927
100% Corpus,14,auto,0.7,0.4449042634214791
100% Corpus,14,auto,0.9,0.46975848366835166
100% Corpus,14,auto,1.5,
100% Corpus,14,auto,auto,0.41779150490618827
100% Corpus,16,0.15,0.15,0.47473857719820556
100% Corpus,16,0.15,0.2,0.4676303917942006
100% Corpus,16,0.15,0.5,0.49718096836810893
100% Corpus,16,0.15,0.7,0.478846291693172
100% Corpus,16,0.15,0.9,0.5270049860080102
100% Corpus,16,0.15,1.5,0.5315469814421577
100% Corpus,16,0.15,auto,0.4672432290158329
100% Corpus,16,0.2,0.15,0.471557536339314
100% Corpus,16,0.2,0.2,0.4719048883879564
100% Corpus,16,0.2,0.5,0.4818368876390388
100% Corpus,16,0.2,0.7,0.4975718638299171
100% Corpus,16,0.2,0.9,0.4872006281965977
100% Corpus,16,0.2,1.5,0.5348403688103622
100% Corpus,16,0.2,auto,0.45927159045723753
100% Corpus,16,0.5,0.15,0.5174618824333626
100% Corpus,16,0.5,0.2,0.4971105820006744
100% Corpus,16,0.5,0.5,0.49732535207681894
100% Corpus,16,0.5,0.7,0.5209298926511239
100% Corpus,16,0.5,0.9,0.5241162941704285
100% Corpus,16,0.5,1.5,0.5354234142386658
100% Corpus,16,0.5,auto,0.5079731060775519
100% Corpus,16,0.6,0.15,0.5381706456945416
100% Corpus,16,0.6,0.2,0.5297161341161429
100% Corpus,16,0.6,0.5,0.5056326002348321
100% Corpus,16,0.6,0.7,0.46727666065705786
100% Corpus,16,0.6,0.9,0.5209110776869479
100% Corpus,16,0.6,1.5,0.6144044935325856
100% Corpus,16,0.6,auto,0.5311287158143614
100% Corpus,16,0.7,0.15,0.5415024703500934
100% Corpus,16,0.7,0.2,0.5311357860722936
100% Corpus,16,0.7,0.5,0.5348332991409666
100% Corpus,16,0.7,0.7,0.5210111877262321
100% Corpus,16,0.7,0.9,0.5412345000383716
100% Corpus,16,0.7,1.5,0.6067343259689679
100% Corpus,16,0.7,auto,0.5400499450398917
100% Corpus,16,0.9,0.15,0.5587730615461739
100% Corpus,16,0.9,0.2,0.5398606628778151
100% Corpus,16,0.9,0.5,0.5323127714847606
100% Corpus,16,0.9,0.7,0.5056787658404418
100% Corpus,16,0.9,0.9,0.5787525264960136
100% Corpus,16,0.9,1.5,0.5430932452320374
100% Corpus,16,0.9,auto,0.5460137885948737
100% Corpus,16,1.5,0.15,0.5805735264826685
100% Corpus,16,1.5,0.2,0.5587692068328787
100% Corpus,16,1.5,0.5,0.5237379922546108
100% Corpus,16,1.5,0.7,0.4970242371114854
100% Corpus,16,1.5,0.9,0.5369616146390794
100% Corpus,16,1.5,1.5,0.5194994410049804
100% Corpus,16,1.5,auto,0.5560523925481579
100% Corpus,16,1.75,0.15,0.5597259967206901
100% Corpus,16,1.75,0.2,0.5587877136954251
100% Corpus,16,1.75,0.5,0.5304556735648693
100% Corpus,16,1.75,0.7,0.48267591594377945
100% Corpus,16,1.75,0.9,0.5054123461168275
100% Corpus,16,1.75,1.5,0.469059570532517
100% Corpus,16,1.75,auto,0.5546237086172305
100% Corpus,16,auto,0.15,0.47574971774308805
100% Corpus,16,auto,0.2,0.460951376963473
100% Corpus,16,auto,0.5,0.48724698369541664
100% Corpus,16,auto,0.7,0.5035558719926017
100% Corpus,16,auto,0.9,0.4570482359133323
100% Corpus,16,auto,1.5,
100% Corpus,16,auto,auto,0.44372095094118363
100% Corpus,18,0.15,0.15,0.4448583801267737
100% Corpus,18,0.15,0.2,0.4474848974633134
100% Corpus,18,0.15,0.5,0.49288387208181156
100% Corpus,18,0.15,0.7,0.46874706984559317
100% Corpus,18,0.15,0.9,0.5162896258652907
